id,name,x,y,capacity,0:00,0:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
383,Frith Street Soho,529774,181014,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,15,17,17,17,17,17,17,17,15,16,15,14,15,11,12,15,13,12,10,12,7,6,0,1,1,0,0,0,1,0,0
384,Marloes Road Kensington,525574,179059,15,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,7,7,7,7,8,8,8,8,7,7,6,5,5,5,3,5,5,6,7,7,7,5,5,5,6,6,6,7,7,8,8,8
386,Moor Street Soho,529849,181063,15,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,12,12,12,12,12,12,11,11,11,8,9,10,11,10,9,9,8,10,7,9,7,2,1,0,0,0,0,1,4,2
387,Fire Brigade Pier Vauxhall,530510,178873,29,1,1,3,3,3,3,4,4,4,4,5,15,15,15,15,16,16,19,24,24,24,24,24,23,22,22,20,22,22,22,22,21,20,17,12,7,9,6,7,9,13,16,25,25,23,23,24,24
388,Southampton Street Strand,530439,180763,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,3,5,7,2,4,3,3,1,6,5,6,1,3,3,3,4,3,3,8,0,0,0,0,1,0,3,0,1,0,0,0,0
389,Upper Grosvenor Street Mayfair,528079,180640,18,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,4,4,4,4,6,6,9,9,8,9,11,12,12,12,11,11,11,7,4,4,4,2,2,2,2,2,1,1,0
390,Buxton Street 1 Bangla Town,534075,182090,41,21,21,21,21,22,22,22,23,23,23,23,23,23,23,23,25,24,24,24,21,21,20,20,20,20,20,20,20,20,20,20,20,19,20,20,22,25,25,25,26,25,25,25,26,27,28,29,29
391,Clifford Street Mayfair,529008,180723,26,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,11,15,21,25,25,25,23,23,25,21,22,22,23,25,23,23,22,22,20,17,9,3,1,0,0,0,0,0,0,0,0,0,0
392,Imperial College Knightsbridge,526447,179408,17,14,14,14,14,14,14,13,13,13,13,13,13,13,13,12,13,14,18,21,20,20,20,20,20,20,20,19,18,19,17,16,13,11,9,8,5,0,0,3,3,3,4,4,2,1,2,1,1
393,Snow Hill Farringdon,531677,181533,14,2,2,2,2,2,2,2,2,2,3,3,2,2,3,5,6,4,8,13,12,12,12,12,12,12,11,10,9,9,13,12,13,11,10,10,5,0,1,0,0,0,0,0,0,0,0,0,0
394,Aberdeen Place St. John's Wood,526615,182238,18,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,8,5,3,1,0,0,0,1,0,0,0,0,0,0,1,1,2,1,5,6,4,5,14,17,17,15,15,15,15,15,15,15
395,Cadogan Gardens Sloane Square,527840,178668,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,3,5,5,6,6,8,8,9,9,10,10,10,9,7,8,10,10,9,6,8,8,8,9,8,7,8,8,9,10,10
396,Shouldham Street Marylebone,527512,181512,16,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,8,2,3,2,1,0,0,1,3,4,2,2,2,4,5,4,3,3,3,3,0,3,3,1,2,1,2,1,3,3,7,8
397,Devonshire Terrace Bayswater,526404,180971,15,9,9,9,11,11,11,11,11,11,11,10,10,10,9,5,2,1,0,0,0,1,1,3,1,5,3,1,1,3,2,2,3,3,2,0,1,4,5,11,10,11,12,14,14,14,14,14,14
398,Holland Park Kensington,524979,179694,30,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
399,Brick Lane Market Shoreditch,533878,182179,24,20,20,21,19,19,18,18,18,18,18,18,18,17,17,12,13,13,12,14,16,16,17,17,15,14,12,12,14,13,13,15,15,15,18,18,18,20,21,23,23,22,19,19,18,18,18,16,16
400,George Street Marylebone,528172,181485,25,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,17,20,22,23,25,24,25,25,26,26,24,23,23,24,26,26,25,26,23,22,18,14,8,7,5,7,7,8,8,5,5,4,3
401,Columbia Road Weavers,533604,182792,24,21,21,21,21,20,20,20,19,19,19,20,20,18,18,19,15,13,11,10,10,9,7,9,9,8,11,11,10,9,9,9,9,9,11,12,10,12,12,12,12,12,15,14,14,17,17,17,15
402,Penfold Street Marylebone,526939,182031,15,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,11,9,7,5,4,4,3,0,0,0,1,1,1,2,2,3,2,2,2,2,1,2,2,2,1,1,11,12,13,13,14,14,15
403,George Place Mews Marylebone,527887,181388,16,12,12,12,12,10,10,10,10,10,10,11,11,11,11,11,14,10,5,5,5,6,6,7,5,7,6,6,5,7,5,5,3,3,2,3,3,1,1,4,3,4,3,3,3,2,2,2,2
404,Palace Gate Kensington Gardens,526114,179690,13,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,8,6,7,12,10,10,7,3,2,6,9,7,6,11,10,7,2,8,14,15,15,15,14,12,13,13,13,13,13,13,14,14
405,Gloucester Road Station South Kensington,526256,178820,15,13,13,13,13,13,13,13,13,13,13,13,13,13,14,13,13,12,12,12,10,11,10,7,7,8,9,7,8,8,9,8,10,8,5,5,10,11,9,13,14,12,14,13,14,8,6,8,9
406,Speakers' Corner 2 Hyde Park,527779,180874,25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,2,3,13,14,10,9,9,5,20,20,15,12,13,14,11,7,0,3,3,5,7,14,17,19,18,20,20,19,18,18,18
407,Speakers' Corner 1 Hyde Park,527724,180863,20,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,5,4,7,8,6,6,3,2,0,6,1,0,0,1,0,0,1,0,0,1,4,8,8,4,6,5,4,4,4,4,4,4
408,Paddington Green Police Station Paddington,527015,181705,40,30,30,30,30,30,30,31,31,31,31,30,30,30,30,30,30,32,31,30,30,31,32,32,32,32,32,32,32,31,31,32,32,32,34,33,31,28,27,27,27,26,26,26,26,26,26,26,26
409,Strata Southwark,532009,178850,21,20,20,20,20,20,20,20,20,20,20,20,20,20,19,18,17,13,2,2,2,2,1,0,1,2,1,2,2,1,2,3,2,2,0,1,4,4,10,15,18,18,20,20,20,20,20,20,20
410,Edgware Road Station Paddington,527079,181709,63,38,39,38,40,41,41,41,41,41,41,42,42,42,42,42,42,43,44,40,38,37,35,32,32,33,33,35,35,35,34,30,31,32,32,31,30,35,36,36,41,43,42,41,41,44,44,47,49
411,Walworth Road Southwark,532019,178876,30,28,28,27,28,27,28,28,28,28,28,29,29,29,29,29,28,24,16,16,17,15,15,14,14,15,11,13,14,14,16,13,13,13,17,22,25,29,30,30,30,30,30,28,27,27,29,30,30
412,Cleaver Street Kennington,531309,178272,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,13,12,8,7,6,6,7,7,4,5,5,5,6,6,6,7,6,5,6,6,7,11,12,15,16,16,16,16,12,12,12,15,15
419,Chelsea Bridge Pimlico,528616,177949,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,4,3,3,1,3,2,2,2,6,8,9,10,11,10,11,11,11,13,12
420,Southwark Station 1 Southwark,531597,180053,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,34,31,32,32,32,29,30,33,34,35,33,34,34,35,36,35,35,35,35,35,35,35,35,35,35,34,34,34,34,34,34
421,Southwark Station 2 Southwark,531634,180054,0,27,29,29,29,29,29,32,32,32,32,32,32,33,35,35,30,26,22,20,21,18,20,16,18,18,19,16,18,19,19,16,14,11,11,13,16,27,31,35,37,36,36,35,37,37,37,34,34
423,Eaton Square (South) Belgravia,528249,178912,31,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,15,13,12,14,12,12,11,11,11,11,9,10,10,10,10,11,11,11,10,9,9,8,4,2,2,4,4,4,4,4,4,4,4
424,Ebury Bridge Pimlico,528590,178468,29,17,17,17,17,17,17,18,18,18,18,18,18,18,18,16,14,13,10,9,6,6,3,3,2,2,2,1,0,0,0,0,0,1,0,1,4,3,1,1,2,6,7,9,10,10,7,6,6
425,Harrington Square 2 Camden Town,529165,183255,37,11,12,12,12,12,12,12,11,11,11,11,11,11,12,12,14,13,13,14,14,14,11,11,13,12,12,11,10,10,10,7,7,6,5,9,4,4,4,4,4,4,6,7,6,7,11,13,13
426,Vincent Street Pimlico,529920,178789,16,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,4,3,2,9,10,10,10,10,7,7,7,7,8,9,9,8,8,8,11,10,9,10,12,14,14,16,16,16,16,16,16,15
427,Cheapside Bank,532427,181178,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,7,16,28,33,35,38,39,41,38,39,42,43,42,42,40,40,41,40,40,34,20,1,0,0,0,0,1,1,1,1,0,0,0
428,Exhibition Road South Kensington,526803,179471,16,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,4,5,10,8,13,18,19,17,17,17,18,19,19,19,18,18,19,19,12,12,6,1,0,1,2,0,0,0,0,0,0,1,1
430,South Parade Chelsea,526786,178259,18,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,9,5,1,0,2,0,0,0,1,1,1,0,2,2,2,1,1,1,1,1,2,0,1,3,3,3,3,3,4,4,2,2,2
431,Crinan Street King's Cross,530338,183406,20,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,9,10,9,4,2,4,4,3,2,1,3,2,2,2,1,1,1,2,0,2,0,5,12,18,18,17,17,17,18,17,17,17,17
432,Exhibition Road Museums Knightsbridge,526857,179143,21,2,2,2,3,3,3,3,3,3,3,3,2,2,2,3,5,9,11,10,8,5,5,4,4,4,13,11,11,7,7,7,7,13,6,4,2,2,2,1,3,4,1,0,2,1,0,0,0
433,Wren Street Holborn,530777,182315,31,10,7,11,11,11,12,12,12,12,12,13,13,13,13,16,16,15,17,15,19,22,22,19,18,19,18,17,18,20,18,15,13,12,13,11,9,1,3,0,0,1,20,22,17,5,2,3,3
434,Mechanical Workshop PS,622686,-5527497,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,Kennington Station Kennington,531621,178363,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,22,16,7,2,1,0,0,0,1,1,0,0,1,1,1,1,2,1,1,2,5,9,12,10,6,7,11,11,13,19,20,23,23,23
436,Red Lion Street Holborn,530776,181611,34,8,8,8,8,8,8,7,7,2,2,2,2,2,4,7,16,11,24,29,32,32,29,30,29,31,30,28,27,26,24,21,22,18,5,1,6,0,17,11,6,3,0,0,0,0,0,0,0
437,Vauxhall Walk Vauxhall,530560,178254,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,25,24,26,26,25,25,25,24,24,22,22,23,22,21,22,22,23,25,25,23,25,25,25,25,25,25,25,25,25,25,25,25
439,Killick Street Kings Cross,530584,183338,21,5,6,6,6,6,6,6,6,6,6,6,6,6,7,6,5,4,2,0,0,1,3,1,1,0,17,17,18,19,20,13,13,13,12,12,11,15,19,20,20,20,15,15,15,15,15,16,16
440,Kennington Oval Oval,531114,177715,32,32,32,32,32,32,32,32,32,32,32,33,32,32,31,31,29,28,24,21,20,20,16,13,12,11,11,11,11,12,11,9,7,7,8,12,14,20,24,25,26,28,29,32,32,32,31,31,31
441,Sail Street Vauxhall,530976,179103,24,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,13,12,13,13,13,13,12,12,13,13,11,12,12,12,12,13,13,13,14,13,15,16,16,17,17,16,15,16,16,18,18
442,Walmer Road Notting Hill,524221,180541,24,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,5,7,9,7,7,6,6,7,7,7,7,6,7,8,8,10,10,11,13,15,15,16,18,20,20,22,18,18,18,19,19,19
443,Philpot Street Whitechapel,534803,181384,30,11,14,12,12,10,10,10,10,10,10,10,10,10,9,9,9,6,1,1,1,0,1,16,16,17,20,20,22,21,20,21,20,20,21,21,20,21,22,26,27,26,24,25,27,26,28,28,27
444,Bethnal Green Gardens Bethnal Green,535003,182549,24,18,18,18,18,18,18,18,18,18,18,19,20,19,20,19,17,17,17,17,17,17,17,15,14,17,13,14,16,16,15,15,12,11,9,10,11,11,11,12,14,13,10,10,9,9,10,13,13
445,Cheshire Street Bethnal Green,534331,182331,26,1,9,19,19,19,19,19,19,19,19,20,20,20,20,18,17,15,11,8,6,4,4,6,6,5,6,6,6,5,5,4,5,6,7,6,6,8,10,14,13,16,17,17,19,20,19,20,19
446,York Hall Bethnal Green,534953,182910,26,16,16,16,16,16,17,17,17,17,17,19,19,18,18,19,19,16,14,13,14,15,14,13,13,13,13,11,10,11,12,11,10,10,8,4,9,12,12,11,12,14,15,15,17,17,18,19,18
447,Jubilee Crescent Cubitt Town,538414,179047,53,27,27,27,27,27,27,27,27,27,27,27,26,26,25,25,24,19,17,14,15,14,15,15,15,15,15,15,13,14,16,16,17,20,21,20,21,18,24,27,28,29,32,32,32,33,34,34,34
448,Fishermans Walk West Canary Wharf,537305,180447,36,0,0,0,0,0,0,0,0,0,1,1,2,4,13,18,28,34,35,28,30,21,22,22,20,19,19,19,17,17,16,17,17,14,9,10,0,0,0,0,1,0,0,0,0,0,0,0,0
449,Shadwell Station Shadwell,534918,180924,33,18,18,18,19,18,18,18,18,19,19,20,19,18,18,16,16,13,14,9,8,7,7,7,6,6,6,3,3,2,1,1,2,2,2,4,6,4,7,13,17,19,20,22,27,27,30,30,32
450,Jubilee Street Stepney,535180,181474,28,23,23,23,23,23,23,23,24,24,24,23,22,22,21,20,17,14,12,8,3,3,2,1,1,1,0,0,0,0,0,0,0,1,3,2,5,6,9,17,17,18,22,25,25,26,26,26,26
451,Hermitage Court Wapping,534494,180203,15,10,10,10,10,11,11,11,11,11,11,11,11,12,12,10,9,10,4,11,12,12,12,11,12,12,11,10,9,11,12,12,12,12,12,12,11,12,12,12,12,15,15,15,15,15,15,16,16
